dependency_id,app_id,library_name,version,risk_status,risk_type,severity,cve_ids,is_false_positive_trap,explanation
DEP-0001,APP-001,org.springframework.boot:spring-boot-starter-web,2.5.4,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1012;CVE-2023-1088;CVE-2023-1100;CVE-2024-1129;CVE-2024-1177,False,"org.springframework.boot:spring-boot-starter-web@2.5.4 is affected by 5 known vulnerability(ies); the worst is CVE-2020-1012 (CVSS 8.0, HIGH). A patch is available."
DEP-0002,APP-001,org.springframework.boot:spring-boot-starter-logging,2.5.4,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0003,APP-001,org.apache.logging.log4j:log4j-core,2.14.1,AT_RISK,transitive_vulnerability,CRITICAL,CVE-2021-44228;CVE-2025-1142,False,"org.apache.logging.log4j:log4j-core@2.14.1 is affected by 2 known vulnerability(ies); the worst is CVE-2021-44228 (CVSS 10.0, CRITICAL). It is reached TRANSITIVELY via org.springframework.boot:spring-boot-starter-logging, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0004,APP-001,org.apache.logging.log4j:log4j-api,2.14.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0005,APP-001,com.fasterxml.jackson.core:jackson-core,3.3.0,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1025;CVE-2020-1067;CVE-2020-1163;CVE-2024-1075,False,"com.fasterxml.jackson.core:jackson-core@3.3.0 is affected by 4 known vulnerability(ies); the worst is CVE-2020-1025 (CVSS 8.1, HIGH). A patch is available."
DEP-0006,APP-001,org.apache.commons:commons-text,1.8.5,AT_RISK,vulnerable_dependency,CRITICAL,CVE-2022-42889,False,"org.apache.commons:commons-text@1.8.5 is affected by 1 known vulnerability(ies); the worst is CVE-2022-42889 (CVSS 9.8, CRITICAL). A patch is available."
DEP-0007,APP-001,org.springframework:spring-beans,1.6.8,CLEAN,none,NONE,,True,"org.springframework:spring-beans@1.6.8 falls inside the published affected range for CVE-2022-22965, BUT this build carries a backported fix. A naive version-matching scanner raises a FALSE POSITIVE here; it is not vulnerable."
DEP-0008,APP-001,com.fasterxml.jackson.core:jackson-databind,2.2.8,AT_RISK,vulnerable_dependency,HIGH,CVE-2019-12384,False,"com.fasterxml.jackson.core:jackson-databind@2.2.8 is affected by 1 known vulnerability(ies); the worst is CVE-2019-12384 (CVSS 8.9, HIGH). A patch is available."
DEP-0009,APP-001,ch.qos.logback:logback-classic,3.8.1,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1103;CVE-2021-1066;CVE-2025-1022;CVE-2025-1136,False,"ch.qos.logback:logback-classic@3.8.1 is affected by 4 known vulnerability(ies); the worst is CVE-2020-1103 (CVSS 8.8, HIGH). A patch is available."
DEP-0010,APP-001,io.jsonwebtoken:jjwt,2.6.4,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1005;CVE-2021-1057;CVE-2021-1104;CVE-2022-1102;CVE-2023-1072;CVE-2025-1115,False,"io.jsonwebtoken:jjwt@2.6.4 is affected by 6 known vulnerability(ies); the worst is CVE-2025-1115 (CVSS 8.5, HIGH). A patch is available."
