dependency_id,app_id,app_name,library_name,version,ecosystem,license,dependency_type,parent_library,depth,last_updated,maintainer_count,has_security_policy,repo_stars,patched_in_build,vulnerable_function_used,linkage,modified_by_us
DEP-0001,APP-001,Payments-API,org.springframework.boot:spring-boot-starter-web,2.5.4,maven,Apache-2.0,direct,,1,2026-04-15,11,True,55198,False,False,dynamic,False
DEP-0002,APP-001,Payments-API,org.springframework.boot:spring-boot-starter-logging,2.5.4,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-web,2,2024-11-17,24,True,26390,False,False,dynamic,False
DEP-0003,APP-001,Payments-API,org.apache.logging.log4j:log4j-core,2.14.1,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-logging,3,2023-10-13,8,False,544,False,True,dynamic,False
DEP-0004,APP-001,Payments-API,org.apache.logging.log4j:log4j-api,2.14.1,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-logging,3,2025-12-12,22,True,3888,False,False,dynamic,False
DEP-0005,APP-001,Payments-API,com.fasterxml.jackson.core:jackson-core,3.3.0,maven,LGPL-2.1,direct,,1,2023-05-07,11,False,43199,False,False,dynamic,False
DEP-0006,APP-001,Payments-API,org.apache.commons:commons-text,1.8.5,maven,Apache-2.0,direct,,1,2024-05-18,13,False,5506,False,True,dynamic,False
DEP-0007,APP-001,Payments-API,org.springframework:spring-beans,1.6.8,maven,Apache-2.0,direct,,1,2026-06-24,15,True,46164,True,False,dynamic,False
DEP-0008,APP-001,Payments-API,com.fasterxml.jackson.core:jackson-databind,2.2.8,maven,Apache-2.0,direct,,1,2023-04-25,19,False,20278,False,False,dynamic,False
DEP-0009,APP-001,Payments-API,ch.qos.logback:logback-classic,3.8.1,maven,BSD-3-Clause,direct,,1,2026-03-08,2,False,33775,False,False,dynamic,False
DEP-0010,APP-001,Payments-API,io.jsonwebtoken:jjwt,2.6.4,maven,AGPL-3.0,direct,,1,2025-06-02,5,True,54696,False,True,dynamic,False
DEP-0011,APP-001,Payments-API,org.thymeleaf:thymeleaf,2.2.9,maven,BSD-2-Clause,direct,,1,2023-07-16,25,False,50452,True,False,dynamic,False
DEP-0012,APP-001,Payments-API,com.zaxxer:HikariCP,2.11.7,maven,Apache-2.0,direct,,1,2026-06-03,6,True,46920,True,False,dynamic,False
DEP-0013,APP-001,Payments-API,xerces:xercesImpl,1.0.0,maven,Unlicense,direct,,1,2022-07-19,1,False,42387,False,True,dynamic,False
DEP-0014,APP-001,Payments-API,io.netty:netty-common,3.3.1,maven,ISC,direct,,1,2026-04-08,23,True,20189,False,False,dynamic,False
DEP-0015,APP-001,Payments-API,debug,4.2.3,npm,GPL-2.0,direct,,1,2025-03-21,3,False,24495,False,False,static,True
DEP-0016,APP-001,Payments-API,boto3,1.6.8,pypi,MPL-2.0,direct,,1,2026-04-24,8,True,50015,False,True,static,True
DEP-0017,APP-001,Payments-API,decode-uri-component,4.4.9,npm,LGPL-2.1,transitive,,1,2026-06-18,18,True,5334,False,True,static,True
DEP-0018,APP-001,Payments-API,beautifulsoup4,3.3.6,pypi,GPL-3.0,direct,,1,2026-03-08,16,True,41154,False,True,dynamic,True
DEP-0019,APP-001,Payments-API,cookie-parser,5.5.4,npm,MPL-2.0,direct,,1,2024-12-19,9,True,19387,False,True,static,True
DEP-0020,APP-001,Payments-API,serialize-javascript,6.17.2,npm,LGPL-3.0,direct,,1,2026-06-11,22,True,35022,False,True,static,True
DEP-0021,APP-001,Payments-API,org.springframework:spring-core,2.11.7,maven,Apache-2.0,transitive,,1,2022-01-01,8,False,48031,False,True,dynamic,False
DEP-0022,APP-001,Payments-API,commons-collections:commons-collections,1.4.7,maven,BSD-3-Clause,transitive,,1,2023-01-17,1,False,23963,False,False,dynamic,False
DEP-0023,APP-001,Payments-API,com.h2database:h2,0.3.12,maven,PSF-2.0,transitive,,1,2021-10-25,10,False,8159,False,True,dynamic,False
DEP-0024,APP-001,Payments-API,org.yaml:snakeyaml,0.1.12,maven,MIT,transitive,,1,2024-02-15,3,False,28486,False,False,dynamic,False
DEP-0025,APP-001,Payments-API,mysql:mysql-connector-java,5.12.9,maven,Apache-2.0,direct,,1,2021-06-01,20,False,28872,False,True,dynamic,False
DEP-0026,APP-001,Payments-API,commons-codec:commons-codec,2.13.0,maven,BSD-3-Clause,direct,,1,2021-04-23,9,False,42240,False,True,dynamic,False
DEP-0027,APP-001,Payments-API,org.quartz-scheduler:quartz,3.3.0,maven,EPL-2.0,direct,,1,2026-04-12,3,False,39678,False,False,dynamic,False
DEP-0028,APP-001,Payments-API,io.netty:netty-handler,4.0.1,maven,Apache-2.0,transitive,org.quartz-scheduler:quartz,2,2025-10-29,20,True,25535,False,True,dynamic,False
DEP-0029,APP-001,Payments-API,org.springframework:spring-web,5.13.8,maven,Apache-2.0,direct,,1,2026-05-17,22,True,37544,False,False,dynamic,False
DEP-0030,APP-001,Payments-API,org.freemarker:freemarker,2.5.3,maven,GPL-2.0,transitive,org.springframework:spring-web,2,2026-02-03,20,True,12848,False,False,dynamic,False
DEP-0031,APP-001,Payments-API,org.slf4j:slf4j-api,1.2.2,maven,PSF-2.0,direct,,1,2026-04-02,7,True,24582,False,False,dynamic,False
DEP-0032,APP-001,Payments-API,org.apache.struts:struts2-core,0.3.8,maven,Apache-2.0,transitive,org.slf4j:slf4j-api,2,2021-10-24,1,False,12623,False,False,dynamic,False
DEP-0033,APP-001,Payments-API,org.bouncycastle:bcprov-jdk15on,4.2.2,maven,ISC,transitive,,1,2026-05-19,11,True,54756,False,False,dynamic,False
DEP-0034,APP-001,Payments-API,paramiko,5.3.9,pypi,Apache-2.0,transitive,,1,2026-06-16,15,True,13744,False,True,dynamic,False
DEP-0035,APP-001,Payments-API,semver-regex,4.11.3,npm,BSD-2-Clause,direct,,1,2026-04-18,18,True,4945,False,True,dynamic,False
DEP-0036,APP-001,Payments-API,lxml,2.14.6,pypi,BSD-3-Clause,transitive,,1,2026-06-18,16,True,14213,False,True,dynamic,False
DEP-0037,APP-001,Payments-API,cryptography,4.20.6,pypi,MIT,direct,,1,2026-02-13,13,True,36539,False,False,dynamic,False
DEP-0038,APP-001,Payments-API,glob-parent,0.0.2,npm,Unlicense,transitive,,1,2024-12-20,9,True,30870,False,False,dynamic,False
DEP-0039,APP-001,Payments-API,nth-check,3.10.3,npm,Unlicense,direct,,1,2025-06-25,7,True,42750,False,False,dynamic,False
DEP-0040,APP-001,Payments-API,setuptools,3.1.3,pypi,LGPL-3.0,direct,,1,2026-05-20,20,True,36736,False,True,dynamic,False
DEP-0041,APP-001,Payments-API,tornado,2.3.1,pypi,MPL-2.0,transitive,,1,2026-04-07,7,True,2754,False,True,dynamic,False
DEP-0042,APP-001,Payments-API,react-dom,4.20.3,npm,PSF-2.0,direct,,1,2026-01-22,7,True,2834,False,True,dynamic,False
DEP-0043,APP-001,Payments-API,js-yaml,3.7.11,npm,LGPL-2.1,direct,,1,2026-05-17,17,True,52694,False,False,dynamic,False
DEP-0044,APP-001,Payments-API,certifi,1.4.11,pypi,Unlicense,direct,,1,2026-05-04,21,True,6641,False,True,dynamic,False
DEP-0045,APP-001,Payments-API,click,3.16.6,pypi,PSF-2.0,transitive,,1,2026-04-25,16,True,4407,False,False,dynamic,False
DEP-0046,APP-001,Payments-API,setuptools,1.12.4,pypi,LGPL-3.0,transitive,,1,2026-05-20,20,True,36736,False,True,dynamic,False
DEP-0047,APP-001,Payments-API,boto3,3.0.9,pypi,MPL-2.0,direct,,1,2026-04-24,8,True,50015,False,False,dynamic,False
DEP-0048,APP-001,Payments-API,js-yaml,5.14.9,npm,LGPL-2.1,direct,,1,2026-05-17,17,True,52694,False,False,dynamic,False
DEP-0049,APP-001,Payments-API,boto3,3.3.1,pypi,MPL-2.0,direct,,1,2026-04-24,8,True,50015,False,False,dynamic,False
DEP-0050,APP-001,Payments-API,setuptools,3.4.9,pypi,LGPL-3.0,direct,,1,2026-05-20,20,True,36736,False,False,dynamic,False
DEP-0051,APP-002,CustomerPortal-Web,vm2,2.3.1,npm,MIT,direct,,1,2026-02-01,7,True,57359,False,False,dynamic,False
DEP-0052,APP-002,CustomerPortal-Web,serialize-javascript,4.1.1,npm,LGPL-3.0,direct,,1,2026-06-11,22,True,35022,False,True,dynamic,False
DEP-0053,APP-002,CustomerPortal-Web,ejs,1.6.0,npm,BSD-2-Clause,direct,,1,2023-08-25,17,False,18008,False,True,dynamic,False
DEP-0054,APP-002,CustomerPortal-Web,cookie-parser,1.2.7,npm,MPL-2.0,direct,,1,2024-12-19,9,True,19387,False,True,dynamic,False
DEP-0055,APP-002,CustomerPortal-Web,socket.io,3.10.3,npm,Apache-2.0,direct,,1,2025-11-21,2,False,8501,False,True,dynamic,False
DEP-0056,APP-002,CustomerPortal-Web,left-pad,0.12.4,npm,ISC,direct,,1,2023-05-10,1,False,15934,False,False,dynamic,False
DEP-0057,APP-002,CustomerPortal-Web,marked,2.7.6,npm,EPL-2.0,direct,,1,2025-10-30,17,True,30861,False,True,dynamic,False
DEP-0058,APP-002,CustomerPortal-Web,lodash,5.12.8,npm,MIT,direct,,1,2026-06-17,21,True,55210,False,False,dynamic,False
DEP-0059,APP-002,CustomerPortal-Web,qs,3.8.8,npm,MPL-2.0,direct,,1,2026-02-09,17,True,11888,False,True,dynamic,False
DEP-0060,APP-002,CustomerPortal-Web,axios,2.13.9,npm,MIT,direct,,1,2023-12-31,5,False,12662,False,True,dynamic,False
DEP-0061,APP-002,CustomerPortal-Web,trim-newlines,1.10.4,npm,GPL-3.0,direct,,1,2025-09-13,11,True,25116,False,True,dynamic,False
DEP-0062,APP-002,CustomerPortal-Web,io.jsonwebtoken:jjwt,6.22.1,maven,AGPL-3.0,direct,,1,2025-06-02,5,True,54696,False,False,static,False
DEP-0063,APP-002,CustomerPortal-Web,y18n,3.5.5,npm,UNKNOWN,direct,,1,2026-04-11,16,True,33202,False,True,static,False
DEP-0064,APP-002,CustomerPortal-Web,starlette,4.4.5,pypi,UNKNOWN,direct,,1,2026-04-09,18,True,4362,False,False,static,True
DEP-0065,APP-002,CustomerPortal-Web,shell-quote,4.18.1,npm,UNKNOWN,transitive,,1,2024-01-24,2,False,27391,False,True,dynamic,False
DEP-0066,APP-002,CustomerPortal-Web,org.postgresql:postgresql,5.1.8,maven,GPL-3.0,direct,,1,2023-03-06,7,False,40736,False,False,static,False
DEP-0067,APP-002,CustomerPortal-Web,postcss,2.8.12,npm,PSF-2.0,transitive,,1,2024-01-20,14,False,15001,False,True,dynamic,False
DEP-0068,APP-002,CustomerPortal-Web,ws,5.15.8,npm,Apache-2.0,transitive,,1,2023-02-10,19,False,20568,False,True,dynamic,False
DEP-0069,APP-002,CustomerPortal-Web,express,2.13.3,npm,Apache-2.0,transitive,,1,2021-09-12,3,False,11045,False,True,dynamic,False
DEP-0070,APP-002,CustomerPortal-Web,jsonwebtoken,5.19.7,npm,Unlicense,direct,,1,2023-12-04,5,False,58263,False,False,dynamic,False
DEP-0071,APP-002,CustomerPortal-Web,xmldom,0.10.1,npm,Unlicense,direct,,1,2023-05-22,1,False,48221,False,True,dynamic,False
DEP-0072,APP-002,CustomerPortal-Web,underscore,2.20.1,npm,Apache-2.0,transitive,,1,2024-05-24,1,False,56773,False,True,dynamic,False
DEP-0073,APP-002,CustomerPortal-Web,js-yaml,0.11.8,npm,LGPL-2.1,direct,,1,2026-05-17,17,True,52694,False,False,dynamic,False
DEP-0074,APP-002,CustomerPortal-Web,body-parser,1.1.5,npm,LGPL-2.1,transitive,js-yaml,2,2023-06-14,12,False,37262,False,True,dynamic,False
DEP-0075,APP-002,CustomerPortal-Web,nth-check,0.3.2,npm,Unlicense,direct,,1,2025-06-25,7,True,42750,False,False,dynamic,False
DEP-0076,APP-002,CustomerPortal-Web,babel-core,1.8.1,npm,BSD-3-Clause,transitive,nth-check,2,2026-02-20,20,True,29504,False,False,dynamic,False
DEP-0077,APP-002,CustomerPortal-Web,glob-parent,1.9.2,npm,Unlicense,direct,,1,2024-12-20,9,True,30870,False,False,dynamic,False
DEP-0078,APP-002,CustomerPortal-Web,minimist,0.4.9,npm,Apache-2.0,transitive,glob-parent,2,2026-05-24,18,True,10682,False,False,dynamic,False
DEP-0079,APP-002,CustomerPortal-Web,decode-uri-component,2.10.2,npm,LGPL-2.1,direct,,1,2026-06-18,18,True,5334,False,False,dynamic,False
DEP-0080,APP-002,CustomerPortal-Web,handlebars,2.1.8,npm,GPL-2.0,transitive,decode-uri-component,2,2021-01-26,23,False,40673,False,True,dynamic,False
DEP-0081,APP-002,CustomerPortal-Web,semver-regex,4.9.6,npm,BSD-2-Clause,direct,,1,2026-04-18,18,True,4945,False,False,dynamic,False
DEP-0082,APP-002,CustomerPortal-Web,tar,2.7.6,npm,LGPL-3.0,transitive,semver-regex,2,2026-03-02,16,True,31768,False,True,dynamic,False
DEP-0083,APP-002,CustomerPortal-Web,react-dom,0.12.1,npm,PSF-2.0,transitive,,1,2026-01-22,7,True,2834,False,False,dynamic,False
DEP-0084,APP-002,CustomerPortal-Web,click,4.14.12,pypi,PSF-2.0,transitive,,1,2026-04-25,16,True,4407,False,True,dynamic,False
DEP-0085,APP-002,CustomerPortal-Web,lxml,0.10.8,pypi,BSD-3-Clause,direct,,1,2026-06-18,16,True,14213,False,False,dynamic,False
